effective_date,province,metric_category,metric,vaccine_type,vet_channel,value,unit,source_file,source_org,submitted_date,ingested_date,version,superseded_by,notes
2026-03-13,national,vaccine_receipt,doses_received,all,all,965300,doses,ICC FMD_VaccineRollout_20March2026.pdf,ICC,2026-03-20,2026-04-28,1,,Backfilled from PDF
2026-03-13,national,animals_vaccinated,animals_vaccinated,all,all,419387,count,ICC FMD_VaccineRollout_20March2026.pdf,ICC,2026-03-20,2026-04-28,1,,Backfilled from PDF
2026-03-20,national,vaccine_receipt,doses_received,all,all,1191314,doses,ICC FMD_VaccineRollout_20March2026.pdf,ICC,2026-03-20,2026-04-28,1,,Backfilled from PDF
2026-03-20,national,animals_vaccinated,animals_vaccinated,all,all,924914,count,ICC FMD_VaccineRollout_20March2026.pdf,ICC,2026-03-20,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,vaccine_receipt,doses_received,all,all,2296037,doses,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,animals_vaccinated,animals_vaccinated,all,all,1125880,count,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,disease,positive_cases,,,1080,count,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,disease,suspected_cases,,,284,count,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,disease,negative_cases,,,53,count,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-03-26,national,disease,pending_cases,,,179,count,26 March 2026/AgriSA - FMD Vaccination Data - 26.03.26.pdf,ICC,2026-03-26,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,vaccine_receipt,doses_received,all,all,2570940,doses,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,animals_vaccinated,animals_vaccinated,all,all,1738424,count,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,disease,positive_cases,,,1325,count,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,disease,suspected_cases,,,728,count,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,disease,negative_cases,,,58,count,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-01,national,disease,pending_cases,,,189,count,AgriSA FMD Data - ICC Update - 01.04.2026.pdf,ICC,2026-04-01,2026-04-28,1,,Backfilled from PDF
2026-04-17,national,vaccine_receipt,doses_received,all,all,2678900,doses,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,,Backfilled from PDF
2026-04-17,national,animals_vaccinated,animals_vaccinated,all,all,2053533,count,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,,Backfilled from PDF
2026-04-17,national,disease,positive_cases,,,1348,count,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,267,Backfilled from PDF
2026-04-17,national,disease,suspected_cases,,,818,count,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,,Backfilled from PDF
2026-04-17,national,disease,negative_cases,,,60,count,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,,Backfilled from PDF
2026-04-17,national,disease,pending_cases,,,191,count,17 April 2026/2. AgriSA - FMD Vaccination Data - 17.04.26.pdf,ICC,2026-04-17,2026-04-28,1,,Backfilled from PDF
